rule,file,line,column,severity,message,symbol,status,batch,owner,notes
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/__init__.py,99,51,error,"Type of ""handleApiError"" is partially unknown   Type of ""handleApiError"" is ""(response_data: dict[Unknown, Unknown], status_code: int, instance: str | None = None) -> ApiErrorException""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/__init__.py,99,67,error,"Type of ""transformError"" is partially unknown   Type of ""transformError"" is ""(error_data: dict[Unknown, Unknown]) -> ErrorResponse""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/__init__.py,102,34,error,"Type of ""fastapi_logger_context_middleware"" is partially unknown   Type of ""fastapi_logger_context_middleware"" is ""(request: Unknown, call_next: (Unknown) -> Awaitable[Unknown]) -> CoroutineType[Any, Any, Unknown]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/__init__.py,111,5,error,"Type of ""parse_filter_params"" is partially unknown   Type of ""parse_filter_params"" is ""(params: dict[Unknown, Unknown]) -> List[FilterOption]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/__init__.py,123,5,error,"Type of ""parse_json_filter"" is partially unknown   Type of ""parse_json_filter"" is ""(json_data: dict[Unknown, Unknown]) -> List[FilterOption]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/__init__.py,132,5,error,"Type of ""register_logger_context_middleware"" is partially unknown   Type of ""register_logger_context_middleware"" is ""(app: Unknown) -> None""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/__init__.py,144,5,error,"Type of ""parsePaginationParams"" is partially unknown   Type of ""parsePaginationParams"" is ""(params: dict[Unknown, Unknown]) -> Dict[str, int]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/__init__.py,147,44,error,"Type of ""parse_sort_params"" is partially unknown   Type of ""parse_sort_params"" is ""(params: dict[Unknown, Unknown]) -> List[SortOption]""",,open,,,
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/api/auth_api.py,144,9,error,"Type of ""headers"" is partially unknown   Type of ""headers"" is ""dict[Unknown, Unknown]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportMissingTypeArgument,/home/dev02/aifabrix-miso-client-python/miso_client/api/auth_api.py,144,18,error,"Expected type arguments for generic class ""dict""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownArgumentType,/home/dev02/aifabrix-miso-client-python/miso_client/api/auth_api.py,149,79,error,"Argument type is partially unknown   Argument corresponds to parameter ""headers"" in function ""__init__""   Argument type is ""dict[Unknown, Unknown]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownArgumentType,/home/dev02/aifabrix-miso-client-python/miso_client/api/auth_api.py,251,39,error,"Argument type is partially unknown   Argument corresponds to parameter ""data"" in function ""post""   Argument type is ""dict[Unknown, Unknown] | None""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/api/auth_api.py,445,13,error,"Type of ""response"" is partially unknown   Type of ""response"" is ""dict[Unknown, Unknown]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownArgumentType,/home/dev02/aifabrix-miso-client-python/miso_client/api/auth_api.py,446,40,error,"Argument type is unknown   Argument corresponds to parameter ""accessToken"" in function ""__init__""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownArgumentType,/home/dev02/aifabrix-miso-client-python/miso_client/api/auth_api.py,446,40,error,"Argument type is unknown   Argument corresponds to parameter ""tokenExchanged"" in function ""__init__""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/api/logs_api.py,444,45,error,"Type of ""get"" is partially unknown   Type of ""get"" is ""Overload[(key: Unknown, default: None = None, /) -> (Unknown | None), (key: Unknown, default: Unknown, /) -> Unknown, (key: Unknown, default: _T@get, /) -> (Unknown | _T@get)]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/api/logs_api.py,446,42,error,"Type of ""get"" is partially unknown   Type of ""get"" is ""Overload[(key: Unknown, default: None = None, /) -> (Unknown | None), (key: Unknown, default: Unknown, /) -> Unknown, (key: Unknown, default: _T@get, /) -> (Unknown | _T@get)]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/api/response_utils.py,32,20,error,"Return type, ""dict[Unknown, Unknown]"", is partially unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/api/response_utils.py,34,16,error,"Return type, ""dict[Unknown, Unknown]"", is partially unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/api/response_utils.py,57,12,error,"Return type, ""dict[Unknown, Unknown]"", is partially unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/api/response_utils.py,79,61,error,"Type of ""entry"" is unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/api/response_utils.py,90,12,error,"Return type, ""dict[Unknown, Unknown]"", is partially unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownParameterType,/home/dev02/aifabrix-miso-client-python/miso_client/client.py,102,25,error,"Type of parameter ""req"" is partially unknown   Parameter type is ""dict[Unknown, Unknown]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportMissingTypeArgument,/home/dev02/aifabrix-miso-client-python/miso_client/client.py,102,30,error,"Expected type arguments for generic class ""dict""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/client.py,104,9,error,"Type of ""headers_obj"" is partially unknown   Type of ""headers_obj"" is ""Unknown | Any | dict[Any, Any]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/client.py,105,13,error,"Type of ""get"" is partially unknown   Type of ""get"" is ""Overload[(key: Unknown, default: None = None, /) -> (Unknown | None), (key: Unknown, default: Unknown, /) -> Unknown, (key: Unknown, default: _T@get, /) -> (Unknown | _T@get)]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnnecessaryIsInstance,/home/dev02/aifabrix-miso-client-python/miso_client/client.py,105,39,error,"Unnecessary isinstance call; ""dict[Unknown, Unknown]"" is always an instance of ""dict[Unknown, Unknown]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/client.py,107,9,error,"Type of ""headers"" is partially unknown   Type of ""headers"" is ""dict[Unknown, Unknown] | dict[Any, Any] | dict[str, Any]""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportPrivateUsage,/home/dev02/aifabrix-miso-client-python/miso_client/client.py,208,26,error,"""_user_token_refresh"" is protected and used outside of the class in which it is declared",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownParameterType,/home/dev02/aifabrix-miso-client-python/miso_client/client.py,344,11,error,"Type of parameter ""kwargs"" is unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportMissingParameterType,/home/dev02/aifabrix-miso-client-python/miso_client/client.py,344,11,error,"Type annotation is missing for parameter ""kwargs""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownParameterType,/home/dev02/aifabrix-miso-client-python/miso_client/errors.py,32,9,error,"Type of parameter ""error_body"" is partially unknown   Parameter type is ""dict[Unknown, Unknown] | None""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportMissingTypeArgument,/home/dev02/aifabrix-miso-client-python/miso_client/errors.py,32,21,error,"Expected type arguments for generic class ""dict""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/errors.py,49,9,error,"Type of ""error_body"" is partially unknown   Type of ""error_body"" is ""dict[Unknown, Unknown] | None""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownMemberType,/home/dev02/aifabrix-miso-client-python/miso_client/errors.py,103,9,error,"Type of ""__init__"" is partially unknown   Type of ""__init__"" is ""(message: str, status_code: int | None = None, error_body: dict[Unknown, Unknown] | None = None, error_response: ErrorResponse | None = None, auth_method: Literal['bearer', 'client-token', 'client-credentials', 'api-key'] | None = None) -> None""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnnecessaryIsInstance,/home/dev02/aifabrix-miso-client-python/miso_client/services/application_context.py,82,33,error,"Unnecessary isinstance call; ""str"" is always an instance of ""str""",,open,,,
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/services/auth_flow_helpers.py,31,16,error,"Return type, ""dict[Unknown, Unknown]"", is partially unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/services/auth_flow_helpers.py,32,12,error,"Return type, ""Any | dict[Unknown, Unknown]"", is partially unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownArgumentType,/home/dev02/aifabrix-miso-client-python/miso_client/services/auth_flow_helpers.py,44,40,error,"Argument type is unknown   Argument corresponds to parameter ""accessToken"" in function ""__init__""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownArgumentType,/home/dev02/aifabrix-miso-client-python/miso_client/services/auth_flow_helpers.py,44,40,error,"Argument type is unknown   Argument corresponds to parameter ""tokenExchanged"" in function ""__init__""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/services/auth_flow_helpers.py,117,12,error,"Return type, ""dict[Unknown, Unknown] | dict[str, Any]"", is partially unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownVariableType,/home/dev02/aifabrix-miso-client-python/miso_client/services/auth_flow_helpers.py,167,12,error,"Return type, ""dict[Unknown, Unknown] | None"", is partially unknown",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownArgumentType,/home/dev02/aifabrix-miso-client-python/miso_client/services/auth_user_cache.py,55,27,error,"Argument type is unknown   Argument corresponds to parameter ""id"" in function ""__init__""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
reportUnknownArgumentType,/home/dev02/aifabrix-miso-client-python/miso_client/services/auth_user_cache.py,55,27,error,"Argument type is unknown   Argument corresponds to parameter ""username"" in function ""__init__""",,fixed,batch2,agent-main,fixed during batch2 on 2026-08-19
